source_id,section_id,grade,verification,role,accepted_claim,evidence_boundary,original_followup,status
B0084,0.2,A,V2,layered_nonlinear_periodisation,设计史分期应把生产方式看作累积层叠而非新方式完全替代旧方式,六层模型是分析工具且可能过度整齐,以区域案例检验各层的起止、重叠与权力关系,ACCEPTED_AS_METHOD
B0084,0.3,A,V2,history_economics_policy_and_context,设计史可贯通生产、使用、经济价值与制度政策而不只描述形式,文集跨时期跨文类并置不能自动组成统一因果理论,逐篇注明文类、日期、原出处和论证层级,ACCEPTED_AS_METHOD
B0084,0.6,A,V2,editorial_selection_unfinished_text_and_regional_bias,文选取舍、未刊稿状态、纪念性目的和区域材料不均必须进入证据审计,编者自陈局限不等于已修复这些偏差,补未收文本、原出处、本地研究和反方评论,ACCEPTED_AS_EVIDENCE_AUDIT
B0084,0.7,B,V2,global_history_of_making_fragments,游牧贸易奴役和多种制造层次可扩展全球设计史问题范围,未刊片段不构成完整全球史且地区证据不对称,回原引注并补非西方专史和主体材料,ACCEPTED_WITH_VERIFICATION_GAP
B0084,1.1,A,V2,layered_preindustrial_making_and_knowledge,家庭作坊贸易与多种制造方式共同保存和重组分布式知识,普遍设计能力不能抹去技能制度和劳动不平等,补训练、工具、合同、家庭与工匠主体材料,ACCEPTED_WITH_LIMITS
B0084,1.2,B,V2,industrial_layers_and_mass_production,蒸汽电力与大规模生产叠加于既有方式并改变规模和组织,美国体系材料与B0225重印不算独立互证,该部分仅作版文互校；另补机器、工厂和劳动原档,PARTIAL_DUPLICATE_SUPPORT_ONLY
B0084,1.3,A,V2,production_use_context_and_coordination,设计须桥接生产约束与使用需求并协调多种专门活动,抽象桥接模型不能替代具体图样规格和车间权力证据,补图样、职位、评审、工序与使用反馈,ACCEPTED_WITH_MECHANISM_FOLLOWUP
B0084,1.4,B,V2,material_technology_and_layered_form,材料与技术在不同生产层次中被反复再利用并形成不同形式,文集不是棉陶瓷金属等材料专史,与B0154、B0169及材料环境史互证,ACCEPTED_AS_SUPPORT
B0084,1.5,A,V2,design_as_distributed_human_capacity,设计能力分布于工匠、企业、组织和使用者而非职业名家独占,普遍能力命题不能自动确定对象作者或责任,逐对象补构思制作管理销售使用责任链,ACCEPTED_WITH_LIMITS
B0084,1.6,A,V2,design_definition_value_and_profession,设计可同时作为人类能力、专业活动和经济制度角色分析,三个层级不得混写成同一跨历史词义,补同期词源、职位、学校、协会和企业制度材料,ACCEPTED_WITH_CONCEPT_HISTORY_FOLLOWUP
B0084,1.7,A,V2,coexisting_global_production_layers,不同地区的手工前工业与工业方式长期共存且非同步组合,全球材料仍偏薄且层叠不等于关系平等,与区域劳动史、殖民史和企业史交叉验证,ACCEPTED_WITH_COUNTERSOURCE_REQUIRED
B0084,2.7,B,V2,trade_migration_and_local_reconfiguration,贸易、工匠迁移与制度学习使造物方式跨境重组而非简单扩散,未刊片段及日本中国综述不足以证明具体地方接受,补对象贸易、人员、机构和使用者材料,ACCEPTED_AS_SUPPORT
