batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-013-CH11-POSTMODERN,B0238,book,Judith Gura：《Postmodern Design Complete》，2017,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-013-CH11-POSTMODERN\packets\B0238_Judith Gura：《Postmodern Design Complete》，2017.md,145636,complete,complete,partial_clean_text_spot_check
BATCH-013-CH11-POSTMODERN,B0071,book,Charles Jencks：《The Language of Post-Modern Architecture》，1977,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-013-CH11-POSTMODERN\packets\B0071_Charles Jencks：《The Language of Post-Modern Architecture》，1977.md,189050,complete,complete,partial_clean_text_spot_check
BATCH-013-CH11-POSTMODERN,B0372,book,"Robert Venturi, Denise Scott Brown, Steven Izenour：《Learning from Las Vegas The Forgotten Symbolism of Architectural Form》，1972","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-013-CH11-POSTMODERN\packets\B0372_Robert Venturi, Denise Scott Brown, Steven Izenour：《Learning from Las Vegas The Forgotten Symbolism of Architectural Form》，1972.md",127587,complete,complete,partial_clean_text_spot_check
BATCH-013-CH11-POSTMODERN,B0373,book,Robert Venturi：《Complexity and Contradiction in Architecture》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-013-CH11-POSTMODERN\packets\B0373_Robert Venturi：《Complexity and Contradiction in Architecture》.md,140837,complete,complete,partial_clean_text_spot_check
BATCH-013-CH11-POSTMODERN,B0368,book,Rick Poynor：《No More Rules Graphic Design and Postmodernism》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-013-CH11-POSTMODERN\packets\B0368_Rick Poynor：《No More Rules Graphic Design and Postmodernism》.md,122779,complete,complete,partial_clean_text_spot_check
BATCH-013-CH11-POSTMODERN,B0176,book,"Graphic Design Theory： Readings from the Field (Design -- Armstrong, Helen(Autho","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-013-CH11-POSTMODERN\packets\B0176_Graphic Design Theory： Readings from the Field (Design -- Armstrong, Helen(Autho.md",237095,complete,complete,partial_clean_text_spot_check
BATCH-013-CH11-POSTMODERN,B0178,book,Greiman：《Hybrid imagery the fusion of technology and graphic design》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-013-CH11-POSTMODERN\packets\B0178_Greiman：《Hybrid imagery the fusion of technology and graphic design》.md,163444,complete,complete,partial_clean_text_spot_check
BATCH-013-CH11-POSTMODERN,B0306,book,"Meggs, Philip B.; Purvis, Alston W.：Meggs' History of Graphic Design, 2016","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-013-CH11-POSTMODERN\packets\B0306_Meggs, Philip B.; Purvis, Alston W.：Meggs' History of Graphic Design, 2016.md",2069929,complete,complete,partial_clean_text_spot_check
BATCH-013-CH11-POSTMODERN,B0364,book,Richard Hollis：《Graphic Design A Concise History》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-013-CH11-POSTMODERN\packets\B0364_Richard Hollis：《Graphic Design A Concise History》.md,108190,complete,complete,partial_clean_text_spot_check
BATCH-013-CH11-POSTMODERN,B0009,book,Alain Weill：《Graphic Design A History》，2004,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-013-CH11-POSTMODERN\packets\B0009_Alain Weill：《Graphic Design A History》，2004.md,177651,complete,complete,partial_clean_text_spot_check
BATCH-013-CH11-POSTMODERN,B0197,book,"James H. Fraser, Steven Heller：《Japanese Modern Graphic Design Between the Wars》，1996","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-013-CH11-POSTMODERN\packets\B0197_James H. Fraser, Steven Heller：《Japanese Modern Graphic Design Between the Wars》，1996.md",167884,complete,complete,partial_clean_text_spot_check
BATCH-013-CH11-POSTMODERN,B0075,book,"Charlotte Fiell, Peter Fiell：《Design of the 20th Century》，1999","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-013-CH11-POSTMODERN\packets\B0075_Charlotte Fiell, Peter Fiell：《Design of the 20th Century》，1999.md",1231751,complete,complete,partial_clean_text_spot_check
