batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-017-CH15-SPECULATIVE,B0024,book,"Anthony Dunne, Fiona Raby：《Speculative Everything Design, Fiction, and Social Dreaming》，2013","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-017-CH15-SPECULATIVE\packets\B0024_Anthony Dunne, Fiona Raby：《Speculative Everything Design, Fiction, and Social Dreaming》，2013.md",463721,complete,complete,partial_clean_text_spot_check
BATCH-017-CH15-SPECULATIVE,B0026,book,"Anthony Dunne：《Speculative Everything Design, Fiction, and Social Dreaming》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-017-CH15-SPECULATIVE\packets\B0026_Anthony Dunne：《Speculative Everything Design, Fiction, and Social Dreaming》.md",122655,complete,complete,partial_clean_text_spot_check
BATCH-017-CH15-SPECULATIVE,B0023,book,"Anthony Dunne, Fiona Raby：《Design Noir The Secret Life of Electronic Objects》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-017-CH15-SPECULATIVE\packets\B0023_Anthony Dunne, Fiona Raby：《Design Noir The Secret Life of Electronic Objects》.md",237230,complete,complete,partial_clean_text_spot_check
BATCH-017-CH15-SPECULATIVE,B0025,book,"Anthony Dunne：《Hertzian Tales Electronic Products, Aesthetic Experience, and Critical Design》，2005","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-017-CH15-SPECULATIVE\packets\B0025_Anthony Dunne：《Hertzian Tales Electronic Products, Aesthetic Experience, and Critical Design》，2005.md",196837,complete,complete,partial_clean_text_spot_check
BATCH-017-CH15-SPECULATIVE,B0301,book,"Matt Malpass：《Critical Design in Context History, Theory, and Practices》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-017-CH15-SPECULATIVE\packets\B0301_Matt Malpass：《Critical Design in Context History, Theory, and Practices》.md",149400,complete,complete,partial_clean_text_spot_check
BATCH-017-CH15-SPECULATIVE,B0043,book,"Between Wit and Reason_ Defining Associative, Speculative, -- Malpass, Matt（Cent","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-017-CH15-SPECULATIVE\packets\B0043_Between Wit and Reason_ Defining Associative, Speculative, -- Malpass, Matt（Cent.md",221332,complete,complete,partial_clean_text_spot_check
BATCH-017-CH15-SPECULATIVE,B0065,book,Carl DiSalvo：《Adversarial Design》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-017-CH15-SPECULATIVE\packets\B0065_Carl DiSalvo：《Adversarial Design》.md,156709,complete,complete,partial_clean_text_spot_check
BATCH-017-CH15-SPECULATIVE,B0140,book,Elizabeth (Dori) Tunstall：《Decolonizing Design A Cultural Justice Guidebook》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-017-CH15-SPECULATIVE\packets\B0140_Elizabeth (Dori) Tunstall：《Decolonizing Design A Cultural Justice Guidebook》.md,160479,complete,complete,partial_clean_text_spot_check
BATCH-017-CH15-SPECULATIVE,P0013,paper,Cameron Tonkinwise：《Design for Transitions ‒ from and to what》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-017-CH15-SPECULATIVE\packets\P0013_Cameron Tonkinwise：《Design for Transitions ‒ from and to what》.md,79149,complete,complete,partial_clean_text_spot_check
BATCH-017-CH15-SPECULATIVE,P0014,paper,Cameron Tonkinwise：《How We Intend to Future： Review of Speculative Everything》，2014,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-017-CH15-SPECULATIVE\packets\P0014_Cameron Tonkinwise：《How We Intend to Future： Review of Speculative Everything》，2014.md,69793,complete,complete,partial_clean_text_spot_check
BATCH-017-CH15-SPECULATIVE,P0005,paper,Anne-Marie Willis：《Ontological Designing》，2006,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-017-CH15-SPECULATIVE\packets\P0005_Anne-Marie Willis：《Ontological Designing》，2006.md,85929,complete,complete,partial_clean_text_spot_check
BATCH-017-CH15-SPECULATIVE,B0017,book,Alison J. Clarke (ed.)：《Design Anthropology Object Cultures in Transition》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-017-CH15-SPECULATIVE\packets\B0017_Alison J. Clarke (ed.)：《Design Anthropology Object Cultures in Transition》.md,155478,complete,complete,partial_clean_text_spot_check
