source_id,section_id,grade,verification,role,accepted_claim,evidence_boundary,original_followup,status,review_file
B0001,1.5,X,V2,gap_flag,无,几乎不处理生产劳动分工和设计责任,另寻工厂记录技术图纸劳动史和企业档案,EXCLUDED,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\mappings\B0001_章节映射.csv
B0001,2.4,A,V2,core_framework_and_mechanism,固定价格、自由进入、免除购买义务、广告展示与服务共同改变消费实践,不能单独证明具体商店史实或不同群体的实际体验,回查期刊版次页码及Miller/Bowlby/Leach/Hower等被引原文,ACCEPTED_WITH_LIMITS,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\mappings\B0001_章节映射.csv
B0001,2.4,C,V2,department_store_innovation,"百货商店的商业创新是""综合""而非发明：固定价格、橱窗陈列、退换货18世纪末伦敦已制度化；A.T. Stewart 1846年大理石宫殿为第一座零售专建建筑（反布西科神话）——第二章消费前史补充","反神话考据（作者论证）；""第一""判断须回建筑史档案",第一节分析报告,ACCEPTED_AS_SUPPORTING_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-011-CH09-CONSUMER\mappings\B0001_章节映射.csv
B0001,2.6,C,V2,limited_context,商店展示以东方和巴黎意象组织异域性与时尚权威,不能替代世界博览会或殖民分类制度研究,补博览会档案展陈目录与殖民治理研究,CONTEXT_ONLY,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\mappings\B0001_章节映射.csv
B0001,9.1,C,V2,long_duration_prehistory,19世纪零售制度可作为战后消费社会的长时段前史,不能支持1945年后的收入零售广告和耐用消费品事实,补战后统计政策行业和企业材料,CONTEXT_ONLY,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\mappings\B0001_章节映射.csv
B0001,9.1,B,V2,department_store_shaping_consumer,"百货商店塑造现代消费文化（1860—1914）：从""购买""到""购物""的转变、广告与陈列构建""眼睛的技术官僚体制""、廉价商品转化为""壮观的商品符号""——消费文化形成",学术论文（约1993）；法美个案；接受侧（购物者体验）无直接证据,第一节-第五节分析报告,ACCEPTED_AS_SUPPORTING_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-011-CH09-CONSUMER\mappings\B0001_章节映射.csv
B0001,9.1,C,V2,false_democratization_luxury,"奢侈的虚假民主化：百货商店以廉价批量商品提供""财富与富足的虚幻符号""，中产阶级借身份符号的区隔竞争更新外观——消费与阶级",概念（达夫内尔1880s）经作者重释；'虚假'判断为作者论证,第七节分析报告,ACCEPTED_AS_SUPPORTING_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-011-CH09-CONSUMER\mappings\B0001_章节映射.csv
B0001,9.3,C,V2,gendered_consumption_prehistory,女性被同时表述为家庭采购者和易受诱惑消费者,女性主体材料不足且不支持战后职业结构,补女性日记消费记录劳动史和战后职业统计,CONTEXT_ONLY,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\mappings\B0001_章节映射.csv
B0001,9.3,B,V2,feminization_of_shopping,"购物的""女性化""：百货商店为女性提供公共空间，同时复制矛盾女性形象（理性持家者vs冲动被诱惑者）；女性超能力消费引发婚姻诉讼——性别化消费",销售策略分析充分；女性体验为间接证据,第六节分析报告,ACCEPTED_AS_SUPPORTING_SOURCE,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-011-CH09-CONSUMER\mappings\B0001_章节映射.csv
B0005,0.3,A,V2,relational_global_design_history,全球设计史应从英雄与名物清单转向对象、连接、比较和多地点关系,这是编者的方法论主张，不代表论文集各章已消除欧美中心偏差,回各章原文与所引区域研究，核定具体作者和页码,ACCEPTED_WITH_LIMITS,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\mappings\B0005_章节映射.csv
B0005,0.4,B,V2,object_as_local_methodological_tool,地方对象可作为追踪跨地域材料、技术和意义过程的方法工具,物不是自足文本；制造地、流通地、使用地和收藏地须分开,补对象检验、博物馆记录、贸易与使用材料,ACCEPTED_AS_METHOD,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\mappings\B0005_章节映射.csv
B0005,0.6,B,V2,source_asymmetry_and_canonical_bias,全球设计史须公开区域材料保存与可见性的不对称,报告网络发现只构成审计线索，不能当成原书统计事实,补各区域档案史与缺席主体材料,ACCEPTED_WITH_COUNTERSOURCE_REQUIRED,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\mappings\B0005_章节映射.csv
B0005,0.7,A,V2,connections_comparisons_objects,连接、比较和对象可构成全球设计史的互补路径，地方不是被动终点,不能把跨境接触自动写成对等交流或直接影响,逐案例补接触、委托、制作、流通与使用链,ACCEPTED_WITH_LIMITS,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\mappings\B0005_章节映射.csv
B0005,1.4,B,V2,materials_and_distributed_production,瓷器、棉布等商品的形式变化嵌入材料、工序、订货与长距离贸易系统,各产业技术条件不同，不能用一个案例概括所有材料系统,补配方、窑业／染织工艺、订单和实物分析,ACCEPTED_AS_SUPPORT,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\mappings\B0005_章节映射.csv
B0005,1.6,C,V2,design_term_and_professional_identity_context,design的地域命名与专业身份应被历史化而非预设为普遍类别,本书不是完整的design词源史或职业制度史,补词典、期刊、职位、学校和行业组织P0材料,CONTEXT_ONLY,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\mappings\B0005_章节映射.csv
B0005,1.7,A,V2,local_production_global_connections,地方生产可通过工艺适配、订货翻译和市场选择生成混合而非复制的结果,景德镇与印度棉布案例不能证明所有地区采取同一路径,补亚洲、非洲、美洲的生产者档案与对象序列,ACCEPTED_WITH_COUNTERSOURCE_REQUIRED,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\mappings\B0005_章节映射.csv
B0005,2.4,B,V2,trade_fashion_and_consumption,贸易订货、时尚和消费验证会反向塑造商品图样与品类,目录、订单和评论不能独立证明普通消费者的实际理解,补账本、诉讼、穿用痕迹、消费者书信与零售档案,ACCEPTED_AS_SUPPORT,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-001-CH01-CH02\mappings\B0005_章节映射.csv
