chapter_id,chapter_title,section_id,section_title,description,core_question,core_thesis
CH00,导论　设计史的对象、证据、时间与叙事,0.1,“设计”是对象、活动还是制度,区分日常造物、专业设计、设计话语与设计制度；说明历史概念不能直接套用到所有时代和地区。,设计史研究的是设计师与名作、风格与运动，还是人工世界背后的生产、流通、使用和权力关系？设计史如何从有限而有偏的证据中形成可信解释？,设计史不是艺术史的附属编年，也不是成功产品的荣誉册。它研究被设计之物如何进入社会关系，以及社会关系如何在物、图像、空间和界面中被固定、协商或反抗。
CH00,导论　设计史的对象、证据、时间与叙事,0.2,现代性、现代化、现代主义与当代性,建立四个概念的分析边界，解释时间分期为何既需要坐标又不能追求全球同步。,设计史研究的是设计师与名作、风格与运动，还是人工世界背后的生产、流通、使用和权力关系？设计史如何从有限而有偏的证据中形成可信解释？,设计史不是艺术史的附属编年，也不是成功产品的荣誉册。它研究被设计之物如何进入社会关系，以及社会关系如何在物、图像、空间和界面中被固定、协商或反抗。
CH00,导论　设计史的对象、证据、时间与叙事,0.3,从英雄谱系到关系史,检讨大师—名作—风格的正典模式，引入生产—中介—消费、物质文化、社会史和全球关系史。,设计史研究的是设计师与名作、风格与运动，还是人工世界背后的生产、流通、使用和权力关系？设计史如何从有限而有偏的证据中形成可信解释？,设计史不是艺术史的附属编年，也不是成功产品的荣誉册。它研究被设计之物如何进入社会关系，以及社会关系如何在物、图像、空间和界面中被固定、协商或反抗。
CH00,导论　设计史的对象、证据、时间与叙事,0.4,人工物如何成为史料,讨论材料、结构、磨损、维修、复制、陈列与使用痕迹；区分物的“被设计意图”与“实际社会生命”。,设计史研究的是设计师与名作、风格与运动，还是人工世界背后的生产、流通、使用和权力关系？设计史如何从有限而有偏的证据中形成可信解释？,设计史不是艺术史的附属编年，也不是成功产品的荣誉册。它研究被设计之物如何进入社会关系，以及社会关系如何在物、图像、空间和界面中被固定、协商或反抗。
CH00,导论　设计史的对象、证据、时间与叙事,0.5,图像、档案、口述与数字痕迹,说明广告、目录、专利、企业档案、课程文件、访谈、软件版本和平台记录各自能证明什么、不能证明什么。,设计史研究的是设计师与名作、风格与运动，还是人工世界背后的生产、流通、使用和权力关系？设计史如何从有限而有偏的证据中形成可信解释？,设计史不是艺术史的附属编年，也不是成功产品的荣誉册。它研究被设计之物如何进入社会关系，以及社会关系如何在物、图像、空间和界面中被固定、协商或反抗。
CH00,导论　设计史的对象、证据、时间与叙事,0.6,证据偏差与缺席者,分析保存偏差、机构偏差、正典偏差、OCR误差和数字平台的可见性偏差，追问工人、妇女、殖民地生产者与普通使用者为何经常消失。,设计史研究的是设计师与名作、风格与运动，还是人工世界背后的生产、流通、使用和权力关系？设计史如何从有限而有偏的证据中形成可信解释？,设计史不是艺术史的附属编年，也不是成功产品的荣誉册。它研究被设计之物如何进入社会关系，以及社会关系如何在物、图像、空间和界面中被固定、协商或反抗。
CH00,导论　设计史的对象、证据、时间与叙事,0.7,全球设计史的三种模型,比较扩散、流动与转译、纠缠与不对称关系；强调地方并非被动接收端。,设计史研究的是设计师与名作、风格与运动，还是人工世界背后的生产、流通、使用和权力关系？设计史如何从有限而有偏的证据中形成可信解释？,设计史不是艺术史的附属编年，也不是成功产品的荣誉册。它研究被设计之物如何进入社会关系，以及社会关系如何在物、图像、空间和界面中被固定、协商或反抗。
CH00,导论　设计史的对象、证据、时间与叙事,0.8,如何阅读本书,介绍每章的对象细读、制度机制、跨区域比较、争议框、史料实验室和章际问题链。,设计史研究的是设计师与名作、风格与运动，还是人工世界背后的生产、流通、使用和权力关系？设计史如何从有限而有偏的证据中形成可信解释？,设计史不是艺术史的附属编年，也不是成功产品的荣誉册。它研究被设计之物如何进入社会关系，以及社会关系如何在物、图像、空间和界面中被固定、协商或反抗。
CH01,第一章　工业化、劳动分工与“设计”的生成,1.1,前工业造物与分布式知识,作坊、行会、家庭劳动、地方材料和默会知识。,工业革命是否“发明”了设计？设计为什么逐渐从制作中分离，并成为工程、企业、市场和审美之间的中介活动？,专业设计并非机器的自动产物，而是劳动分工、图样复制、专利制度、企业组织、市场扩张和审美治理共同作用的结果；手工与机器并未简单先后替代，而是长期共存和相互重组。
CH01,第一章　工业化、劳动分工与“设计”的生成,1.2,机器、能源与尺度变化,蒸汽、机械纺织、交通及标准化怎样扩大生产和市场。,工业革命是否“发明”了设计？设计为什么逐渐从制作中分离，并成为工程、企业、市场和审美之间的中介活动？,专业设计并非机器的自动产物，而是劳动分工、图样复制、专利制度、企业组织、市场扩张和审美治理共同作用的结果；手工与机器并未简单先后替代，而是长期共存和相互重组。
CH01,第一章　工业化、劳动分工与“设计”的生成,1.3,劳动分工与图样权力,图样、制模、规格和监督如何使构思与制作逐渐分离。,工业革命是否“发明”了设计？设计为什么逐渐从制作中分离，并成为工程、企业、市场和审美之间的中介活动？,专业设计并非机器的自动产物，而是劳动分工、图样复制、专利制度、企业组织、市场扩张和审美治理共同作用的结果；手工与机器并未简单先后替代，而是长期共存和相互重组。
