source_id,section_id,grade,verification,role,accepted_claim,evidence_boundary,original_followup,status
B0259,0.2,A,V2,nonsynchronous_modernization_and_comparison,全球分期不能把工业化设为各地区同时追求的单一终点,相似性和1750节点是争议性历史判断,补后续大分流争论与区域数据,ACCEPTED_WITH_COUNTERARGUMENT
B0259,0.3,A,V2,reciprocal_core_region_comparison,互惠比较要求同时解释欧洲与亚洲为何偏离彼此而不预设欧洲正常路径,核心区选择本身仍可能制造代表性偏差,公开比较单位、指标、数据和反例,ACCEPTED_AS_METHOD
B0259,0.6,B,V2,aggregate_data_and_core_region_selection_bias,国家平均与核心区选择会产生相反叙事，统计口径和材料缺口须公开,不能用方法批评自动证明任一相似性结论,补区域微观数据和国家能力研究,ACCEPTED_AS_EVIDENCE_AUDIT
B0259,0.7,A,V2,reciprocal_and_encompassing_global_history,全球史须结合对称区域比较与跨区域资源关系,关系史不能消除殖民暴力或地方差异,与商品史、殖民档案和区域史互证,ACCEPTED_WITH_LIMITS
B0259,1.1,B,V2,shared_protoindustrial_growth,欧亚多个核心区在前工业市场化和原工业生产上存在可比发展,不证明技术、劳动制度或生活水平完全相同,补工序、家庭、工资和区域产业研究,ACCEPTED_AS_COMPARATIVE_CONTEXT
B0259,1.2,A,V2,coal_land_constraint_and_global_resources,煤炭和新大陆资源使英国突破土地能源约束但作用依赖交通市场与全球制度,不能把资源存在写成自动因果,补矿业、运输、价格、机器与国家政策材料,ACCEPTED_WITH_MECHANISM_FOLLOWUP
B0259,1.4,A,V2,ecological_material_system,制造材料和能源必须连同土地森林粮食棉花和海外资源供给分析,鬼田数字及生态可比性仍有争议,补环境史、供应链和量化复核,ACCEPTED_WITH_COUNTERSOURCE_REQUIRED
B0259,1.7,A,V2,regional_divergence_and_contingency,劳动密集与能源密集路径并非文明本质而受区域资源、人口和全球关联塑造,宏观模型不能抹平区域内部不平等,补区域微观史和不同工业化路径,ACCEPTED_WITH_LIMITS
B0259,2.4,B,V2,consumption_similarity_and_global_goods,欧洲消费差异也受美洲白银、亚洲需求和种植园商品网络塑造,不是百货商店或具体消费者接受史,补零售、家庭账本和商品对象材料,ACCEPTED_AS_STRUCTURAL_CONTEXT
B0259,2.7,B,V2,new_world_resources_and_coercive_exchange,跨境物质流动建立在殖民制度、奴隶劳动和不对称交换之上,较少处理纹样、误读和地方再生产,与B0040、B0086、B0304及对象史互证,ACCEPTED_AS_STRUCTURAL_SUPPORT
