source_id,section_id,grade,verification,role,accepted_claim,evidence_boundary,original_followup,status
B0363,3.1,A,V2,machine_age_mechanical_perception,机械化都市与速度经验（电力入户、汽车驾驶、米兰工业化骤变）构成前卫艺术—设计的新感性，未来主义战争净化论为其政治底色（均以Banham的“第一/第二机器时代”框架表述）,以机械感知与都市经验为主体，战争维度仅见于宣言表态，本书非战争史研究；“第一机器时代”分期是Banham 1960年命题,回查导言L110-133的两时代界定与米兰“旧运河—新电车”对照,ACCEPTED_AS_CORE_SOURCE
B0363,3.2,A,V2,futurism_manifesto_motion_politics,未来主义以宣言形式把“速度—机器—都市”铸成新文化价值，并从文学姿态扩展为绘画/雕塑/建筑理论（奠基宣言→技术宣言→Sant'Elia建筑宣言），其战争政治与反传统姿态构成教材3.2的核心史料,宣言文本（P0）证明行动者主张，不证明作品效果与公众接受；Sant'Elia建筑多未建成，国际声望“几乎全靠Marinetti推销”,回查Ch8-10逐句解读与Messaggio/Manifesto作者归属差分,ACCEPTED_AS_CORE_SOURCE
B0363,3.3,C,V2,dada_montage_edge_evidence,达达在本书仅以边缘角色出场：de Stijl的Bonset/Camini假名成员、Duchamp现成品逻辑、Barcelona Pavilion的Dada式不谐，可作达达与抽象运动交集的补充证据,蒙太奇（摄影蒙太奇）在本书基本缺席，达达无专章，不能作为达达运动主体史料,回查L2115-2117、L2373-2375、L3608-3609,CONTEXT_ONLY
B0363,3.4,C,V2,russian_constructivism_international_reception,构成主义以Lissitsky的Proun、构成主义国际（1922杜塞尔多夫大会）与Melnikov展馆等“国际传播”形态进入本书叙述，可作3.4的接受史补充,均为西欧接受视角，俄国本土构成主义—生产主义（Lef、罗琴科、呼捷玛斯）不在本书范围,回查L2118、L2201-2215（Proun）、L2222-2228（大会）、L2471-2478（Melnikov馆）,CONTEXT_ONLY
B0363,3.5,A,V2,de_stijl_universal_order,风格派把抽象绘画哲学转写为建筑—设计理论：“机器=精神纪律”的机器美学、Elementarism元素空间观、Mondriaan新造型主义与Rietveld椅/施罗德宅，构成教材3.5的核心史料,本书聚焦理论文本与少量建筑家具，成员关系与后期史以Jaffé等二手文献与访谈为据,回查Ch12与Ch14：机器美学L1781-1784、Elementarism L2139-2154,ACCEPTED_AS_CORE_SOURCE
B0363,3.6,C,V2,exhibition_standardization_visual_education,展览事件（1925巴黎装饰艺术展、1927 Weissenhof、1929巴塞罗那馆）、DIN-Format标准化与Moholy视觉—摄影教育提供3.6的零散材料,新摄影、新字体非本书主题；展览仅作事件出场，无展览设计本身的系统分析,回查L2466-2478（1925展）、L854-855（DIN）、L3463-3563（Moholy视觉教育）,CONTEXT_ONLY
B0363,3.7,A,V2,transnational_avantgarde_network,1900—1930欧洲前卫构成跨国网络：Wright经Berlage/Ashbee进入荷兰、未来主义文件经Marinetti传入de Stijl、van Doesburg巡回与杜塞尔多夫大会、Lissitsky传教士角色，是教材3.7的机制性史料,网络以人物中介与印刷媒介（de Stijl、L'Esprit Nouveau、G）为线索，非完整的机构与资金网络史,回查L1663-1718（Wright接受）、L1553与L1808-1810（Marinetti文件）、L2108-2228（巡回与大会）,ACCEPTED_AS_CORE_SOURCE
B0363,0.2,B,V2,modernity_concept_historicized,以“第一/第二机器时代”二分及“机器美学/象征性语言”分析，示范“现代性”如何在1960年被历史化表述，可作为现代性概念教学的经典案例,分期与“跑赢技术”论属Banham 1960年史学建构，引用须标注框架而非当作中性定义,回查L110-133、L3670-3672（加速变化）、L3696-3700,ACCEPTED_AS_SUPPORTING_SOURCE
B0363,0.3,A,V2,hero_lineage_to_relational_history,本书是对Pevsner英雄谱系的直接修正——“链条在格罗皮乌斯处断掉”、机器时代美学由“别处别人”创制，并以跨国关系网络替代单一先驱链，是“从英雄谱系到关系史”的范例文本,作者仍以“人物—著作—作品”组织叙事，关系史化程度有限；其对Giedion的批判同样是立场性建构,回查L147-150、L3438-3461（Giedion方法论批判）、L3667,ACCEPTED_AS_CORE_SOURCE
B0363,0.4,B,V2,artifact_as_historical_evidence,人工物（Fagus、Barcelona Pavilion、Villa Savoye）被当作检验理论主张的证据而非风格标本，示范“人工物如何成为史料”，含照片选择对证据效力的影响,以建筑作品与家具为主，日用工业品史料有限（Dymaxion为少数例外）,回查L859-863（Fagus祛魅）、L3586-3636（两建筑检验）、L3655-3666（Dymaxion）,ACCEPTED_AS_SUPPORTING_SOURCE
B0363,0.5,B,V2,image_archive_oral_digital_traces,图像证据偏差（“敌对性照片选择”改变建筑现代性观感）、档案考据（Messaggio/Manifesto归属）、回忆录与访谈为0.5的史料类型提供案例,无数字痕迹维度；口述仅作辅证，作者对回忆录可信度保留态度,回查L859-860、L1516-1534、L1210、L1742-1745、L2180-2188,ACCEPTED_AS_SUPPORTING_SOURCE
B0363,0.6,B,V2,evidence_bias_and_absentees,本书自陈视野限于中上阶级、未来主义反女权与家庭电气化女性点到即止，本身即“证据偏差与缺席者”的案例文本；照片选择与归属考据展示偏差机制,作者未系统处理缺席者问题，精英视角是其史学限度的暴露而非自觉方法,回查L127-133、L859-860、L1516-1534,ACCEPTED_AS_SUPPORTING_SOURCE
B0363,1.6,C,V2,design_concept_competition_background,Muthesius的“质量/形式/类型”话语（Werkbund）与1925年巴黎装饰艺术展提供“设计”概念竞争与“装饰艺术”定位的背景材料,本书未系统比较“工业艺术/装饰艺术/设计”三概念，装饰艺术仅作现代主义对照出场,回查L762、L813-816（Muthesius）、L2466-2478（1925展）,CONTEXT_ONLY
B0363,4.1,A,V2,werkbund_enterprise_system,德意志制造联盟成立（1907）、Behrens受聘AEG、Muthesius类型论（Wo stehen wir?）与工厂美学（Fagus、AEG涡轮机厂房）是教材“改革联盟与企业系统”的直接史料,以Muthesius文本与建筑作品为主；联盟内部争论（van de Velde 1914“类型或个性”）有记录，但企业经济机制未展开,回查Ch5-6（L716-958）、Wo stehen wir?（L766-832）、DIN-Format（L854-855）,ACCEPTED_AS_CORE_SOURCE
B0363,4.2,B,V2,weimar_bauhaus_preliminary_course,魏玛包豪斯（1919-1923）：两校合并、1919宣言、Itten初步课程（Vorkurs）与“做中学”，作为“魏玛包豪斯与基础课程”的关键机制材料,Banham视角批判（早期包豪斯“机器缺席”令人惊讶），教学细读以Gropius《Idee und Aufbau》文本为主,回查L3164-3304、L3205-3216（Vorkurs）,ACCEPTED_AS_SUPPORTING_SOURCE
B0363,4.3,B,V2,bauhaus_1923_institutional_turn,1923年制度转向：Itten离校、Moholy加入、Art and Technology展与Am Horn宅、“机器为现代设计媒介”转向，直接对应“1923年的制度转向”,作者指出转向中Formlehre内容实为学院式（Blanc式），引用转向叙事须连同其批判一并呈现,回查L3219-3269（Idee und Aufbau）、L3284-3306（转型与迁德绍）,ACCEPTED_AS_SUPPORTING_SOURCE
