batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-027-METHOD-VISUAL,B0233,book,"JONAS, WOLFGANG. Design Research and Its Meaning to the Methodological Developme","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-027-METHOD-VISUAL\packets\B0233_JONAS, WOLFGANG. Design Research and Its Meaning to the Methodological Developme.md",180376,complete,complete,partial_clean_text_spot_check
BATCH-027-METHOD-VISUAL,B0257,book,"Ken Friedman：《Theory construction in design research criteria approaches, and methods》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-027-METHOD-VISUAL\packets\B0257_Ken Friedman：《Theory construction in design research criteria approaches, and methods》.md",184672,complete,complete,partial_clean_text_spot_check
BATCH-027-METHOD-VISUAL,B0432,book,"Victor Margolin：《Design discourse history, theory, criticism》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-027-METHOD-VISUAL\packets\B0432_Victor Margolin：《Design discourse history, theory, criticism》.md",153598,complete,complete,partial_clean_text_spot_check
BATCH-027-METHOD-VISUAL,P0057,paper,"Richard Buchanan：《Declaration by Design Rhetoric, Argument, and Demonstration in Design Practice》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-027-METHOD-VISUAL\packets\P0057_Richard Buchanan：《Declaration by Design Rhetoric, Argument, and Demonstration in Design Practice》.md",77784,complete,complete,partial_clean_text_spot_check
BATCH-027-METHOD-VISUAL,B0036,book,"Attfield：《A View from the interior feminism, women, and design》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-027-METHOD-VISUAL\packets\B0036_Attfield：《A View from the interior feminism, women, and design》.md",191763,complete,complete,partial_clean_text_spot_check
BATCH-027-METHOD-VISUAL,P0015,paper,Cameron Tonkinwise：《Is Design Finished？ Dematerialisation and Changing Things》，2004,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-027-METHOD-VISUAL\packets\P0015_Cameron Tonkinwise：《Is Design Finished？ Dematerialisation and Changing Things》，2004.md,84835,complete,complete,partial_clean_text_spot_check
BATCH-027-METHOD-VISUAL,P0038,paper,Igor Kopytoff：《The Cultural Biography of Things： Commoditization as Process》，1986,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-027-METHOD-VISUAL\packets\P0038_Igor Kopytoff：《The Cultural Biography of Things： Commoditization as Process》，1986.md,72326,complete,complete,partial_clean_text_spot_check
BATCH-027-METHOD-VISUAL,B0126,book,Donald A. Norman：《Emotional Design Why We Love (Or Hate) Everyday Things》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-027-METHOD-VISUAL\packets\B0126_Donald A. Norman：《Emotional Design Why We Love (Or Hate) Everyday Things》.md,213728,complete,complete,partial_clean_text_spot_check
BATCH-027-METHOD-VISUAL,B0029,book,Armin Hofmann D. Q. Stephenson：《Graphic Design Manual Principles and Practice》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-027-METHOD-VISUAL\packets\B0029_Armin Hofmann D. Q. Stephenson：《Graphic Design Manual Principles and Practice》.md,194128,complete,complete,partial_clean_text_spot_check
BATCH-027-METHOD-VISUAL,B0147,book,Emil Ruder：《Typography - A Manual of Design [ Typographie ]》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-027-METHOD-VISUAL\packets\B0147_Emil Ruder：《Typography - A Manual of Design [ Typographie ]》.md,187815,complete,complete,partial_clean_text_spot_check
BATCH-027-METHOD-VISUAL,B0146,book,Ellen Lupton：《Thinking with Type》，2004,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-027-METHOD-VISUAL\packets\B0146_Ellen Lupton：《Thinking with Type》，2004.md,166270,complete,complete,partial_clean_text_spot_check
BATCH-027-METHOD-VISUAL,B0217,book,Johannes Itten：《The Art of Color》，1961,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-027-METHOD-VISUAL\packets\B0217_Johannes Itten：《The Art of Color》，1961.md,135956,complete,complete,partial_clean_text_spot_check
