source_id,section_id,grade,verification,role,accepted_claim,evidence_boundary,original_followup,status
B0394,7.3,B,V2,postwar_american_consumption_space_background,战后美国消费空间（郊区化、购物中心、公司总部郊区化）构成Good Design体系展开的市场制度背景,城市社会学家证的制度史实，作背景与机制解释；非设计职业内部史,回查clean第1159—1161行Westchester公司总部走廊与创造性破坏三过程,ACCEPTED_AS_SUPPORTING_SOURCE
B0394,7.3,B,V2,detroit_industrial_landscape_background,底特律汽车—钢铁工业景观及去工业化是战后美国消费转型的工业前提与对照,案例聚焦1980s去工业化与工人买断，对1940s—50s战后初期为背景性参照,回查clean第905—917行downriver工业郊区与McLouth破产/买断,ACCEPTED_AS_SUPPORTING_SOURCE
B0394,7.3,B,V2,suburbanization_federal_housing_policy,1933年起联邦住房政策倾斜郊区并排除非白人家庭，塑造战后郊区消费空间格局,制度史实为城市社会学家证；种族维度在书中未系统展开,回查clean第1185行联邦住房政策,ACCEPTED_AS_SUPPORTING_SOURCE
B0394,7.3,B,V2,shopping_center_as_public_consumption_arena,购物中心与滨水商业中心取代市政集会成为公共生活舞台，以视觉消费组织战后消费,作者框架命题加制度史实混合；购物中心设计细节非本书主题,回查clean第494—506行与第1199行购物中心阈限空间论述,ACCEPTED_AS_SUPPORTING_SOURCE
B0394,9.1,B,V2,shift_of_social_meaning_production_to_consumption,战后消费社会的根本变化：社会意义来源从生产转向消费，工人因消费而非生产被重视,作者核心框架命题（社会学家论证），可作战后美国消费社会的机制解释,回查clean第109行、第310行、第2145行,ACCEPTED_AS_SUPPORTING_SOURCE
B0394,9.1,B,V2,mass_consumption_fordist_system,大众消费是福特制生产体系的支柱，汽车、住房、电视的批量购买塑造新消费社会,直接论述战后消费社会形成机制，史实与命题混合,回查clean第161行Fordist与mass consumption,ACCEPTED_AS_SUPPORTING_SOURCE
B0394,9.1,B,V2,organization_of_consumption_critical_infrastructure,消费的组织与生产组织同等重要，文化生产者—评论者—服务员构成关键基础设施,作者原创命题（1991），与教材消费社会论述互补；概念边界弹性（作者自承）,回查clean第1706—1714行、第1738行、第2163行,ACCEPTED_AS_SUPPORTING_SOURCE
B0394,9.1,B,V2,disney_world_fantasy_consumption,迪士尼世界以幻想景观与立面组织大众消费，是战后消费文化的极致案例,案例以1980s迪士尼为主，自1955 Disneyland起算；作消费社会案例证据,回查clean第1861行、第1895行、第1917行EPCOT 1982开幕,ACCEPTED_AS_SUPPORTING_SOURCE
B0394,9.1,C,V2,landscape_swallows_vernacular,景观吞并地方语言：中央化经济权力以个体消费选择的面目掩藏，提供消费社会的批判视角,作者框架命题，作批判性补充而非史实,回查clean第207—209行、第1199行,CONTEXT_ONLY
B0394,0.2,C,V2,modernity_market_place_tension,市场与地方的张力自现代市场社会开端（英国圈地之争）即存在，构成现代性体验的结构维度,现代性论述多为二手理论转引（Polanyi/Berman/Kern），非系统现代性史,回查clean第113行、第306—310行liminality与阈限体验,CONTEXT_ONLY
B0394,12.1,B,V2,moral_landscape_and_public_value,工业景观亦是道德秩序；以公民身份而非所有权为基础的公共价值主张回应城市伦理议题,第9章为规范性结论章，伦理维度直接；属作者价值议程而非纯实证史实,回查clean第2131行、第2298—2300行,ACCEPTED_AS_SUPPORTING_SOURCE
B0394,12.1,C,V2,gentrification_public_space_ethics,市中心绅士化使公共空间不再无条件开放，凸显城市伦理冲突（无家可归者议题）,第7章案例（曼哈顿1980s）；伦理维度隐含于公共空间论述,回查clean第1690—1696行Grand Central与无家可归者,CONTEXT_ONLY
