batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-022-CH16-PLATFORM,B0451,book,Wendy Siuyi Wong：《Hong Kong comics. A history of manhua》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-022-CH16-PLATFORM\packets\B0451_Wendy Siuyi Wong：《Hong Kong comics. A history of manhua》.md,75297,complete,complete,partial_clean_text_spot_check
BATCH-022-CH16-PLATFORM,B0218,book,John A. Lent：《Asian Comics》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-022-CH16-PLATFORM\packets\B0218_John A. Lent：《Asian Comics》.md,125306,complete,complete,partial_clean_text_spot_check
BATCH-022-CH16-PLATFORM,P0028,paper,"Engholm, Ida：Digital Style History：The Development of Graphic Design on the Internet, 2002","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-022-CH16-PLATFORM\packets\P0028_Engholm, Ida：Digital Style History：The Development of Graphic Design on the Internet, 2002.md",80762,complete,complete,partial_clean_text_spot_check
BATCH-022-CH16-PLATFORM,B0390,book,Scott McCloud：《Understanding Comics The Invisible Art》，1993,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-022-CH16-PLATFORM\packets\B0390_Scott McCloud：《Understanding Comics The Invisible Art》，1993.md,81851,complete,complete,partial_clean_text_spot_check
BATCH-022-CH16-PLATFORM,B0198,book,James J. Gibson：《The Ecological Approach To Visual Perception》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-022-CH16-PLATFORM\packets\B0198_James J. Gibson：《The Ecological Approach To Visual Perception》.md,172059,complete,complete,partial_clean_text_spot_check
BATCH-022-CH16-PLATFORM,B0227,book,John M. Carroll (ed.)：《Human-Computer Interaction in the New Millennium》，2002,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-022-CH16-PLATFORM\packets\B0227_John M. Carroll (ed.)：《Human-Computer Interaction in the New Millennium》，2002.md,5688858,complete,complete,partial_clean_text_spot_check
BATCH-022-CH16-PLATFORM,B0457,book,"Windows and Mirrors_ Interaction Design, Digital Art, and -- JAY DAVID BOLTER AN","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-022-CH16-PLATFORM\packets\B0457_Windows and Mirrors_ Interaction Design, Digital Art, and -- JAY DAVID BOLTER AN.md",121543,complete,complete,partial_clean_text_spot_check
BATCH-022-CH16-PLATFORM,P0004,paper,Alternatives：《exploring information appliances through Bill Gaver; Heather Marti,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-022-CH16-PLATFORM\packets\P0004_Alternatives：《exploring information appliances through Bill Gaver; Heather Marti.md,79974,complete,complete,partial_clean_text_spot_check
BATCH-022-CH16-PLATFORM,B0163,book,Garrett：《The elements of user experience user-centered design for the Web and beyond》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-022-CH16-PLATFORM\packets\B0163_Garrett：《The elements of user experience user-centered design for the Web and beyond》.md,219422,complete,complete,partial_clean_text_spot_check
BATCH-022-CH16-PLATFORM,P0029,paper,"Fallman：《The Interaction Design Research Triangle of Design Practice, Design Stu","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-022-CH16-PLATFORM\packets\P0029_Fallman：《The Interaction Design Research Triangle of Design Practice, Design Stu.md",61143,complete,complete,partial_clean_text_spot_check
BATCH-022-CH16-PLATFORM,P0054,paper,Regine M. Gilbert：《Inclusive Design for a Digital World Designing with Accessibility in Mind》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-022-CH16-PLATFORM\packets\P0054_Regine M. Gilbert：《Inclusive Design for a Digital World Designing with Accessibility in Mind》.md,99992,complete,complete,partial_clean_text_spot_check
BATCH-022-CH16-PLATFORM,B0322,book,Niedderer：《Designing Mindful Interaction The Category of Performative Object》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-022-CH16-PLATFORM\packets\B0322_Niedderer：《Designing Mindful Interaction The Category of Performative Object》.md,144506,complete,complete,partial_clean_text_spot_check
