source_id,corpus,folder_name,rank,section_id,chapter_id,chapter_title,section_title,similarity_score,candidate_band,mapping_grade,status,rationale
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,1,2.4,CH02,第二章　改良、消费、展览与跨国物质流动,百货商店与现代消费者,0.566139,strong_machine_candidate,UNREVIEWED,candidate_needs_review,字符n-gram与英文术语相似度生成；尚未完成语义、版本和证据权限复核。
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,2,10.4,CH10,第十章　新中国设计制度的重组（1949—1978）,大型公共活动与公共建筑,0.479296,strong_machine_candidate,UNREVIEWED,candidate_needs_review,字符n-gram与英文术语相似度生成；尚未完成语义、版本和证据权限复核。
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,3,13.6,CH13,第十三章　全球生产、品牌系统与中国设计转型（1978—2008）,城市化与消费视觉,0.432035,strong_machine_candidate,UNREVIEWED,candidate_needs_review,字符n-gram与英文术语相似度生成；尚未完成语义、版本和证据权限复核。
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,4,9.5,CH09,第九章　消费社会、家庭、性别与企业形象,企业形象的系统化,0.380357,strong_machine_candidate,UNREVIEWED,candidate_needs_review,字符n-gram与英文术语相似度生成；尚未完成语义、版本和证据权限复核。
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,5,6.4,CH06,第六章　东亚转译与中国现代设计的形成（1895—1949）,上海都市消费文化,0.374695,strong_machine_candidate,UNREVIEWED,candidate_needs_review,字符n-gram与英文术语相似度生成；尚未完成语义、版本和证据权限复核。
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,6,9.1,CH09,第九章　消费社会、家庭、性别与企业形象,丰裕社会与消费公民,0.355047,strong_machine_candidate,UNREVIEWED,candidate_needs_review,字符n-gram与英文术语相似度生成；尚未完成语义、版本和证据权限复核。
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,7,5.3,CH05,第五章　商业现代性：装饰艺术、流线型与工业设计职业,经济危机与“销售工程”,0.336656,machine_candidate,UNREVIEWED,candidate_needs_review,字符n-gram与英文术语相似度生成；尚未完成语义、版本和证据权限复核。
B0001,book,1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo,8,9.3,CH09,第九章　消费社会、家庭、性别与企业形象,性别化职业与物品,0.325768,machine_candidate,UNREVIEWED,candidate_needs_review,字符n-gram与英文术语相似度生成；尚未完成语义、版本和证据权限复核。
B0002,book,[日]良品計畫株式會社：《MUJI 無印良品》，朱锷 译，2004,1,10.5,CH10,第十章　新中国设计制度的重组（1949—1978）,宣传视觉与出版系统,0.319752,machine_candidate,UNREVIEWED,candidate_needs_review,字符n-gram与英文术语相似度生成；尚未完成语义、版本和证据权限复核。
B0002,book,[日]良品計畫株式會社：《MUJI 無印良品》，朱锷 译，2004,2,11.1,CH11,第十一章　从反设计到后现代：意义、差异与媒介转向,现代主义危机的社会条件,0.295372,machine_candidate,UNREVIEWED,candidate_needs_review,字符n-gram与英文术语相似度生成；尚未完成语义、版本和证据权限复核。
