batch_id,source_id,corpus,folder_name,packet_path,packet_characters,semantic_review_status,mapping_status,original_verification_status
BATCH-006-CH05-COMMERCIAL,B0073,book,"Charlotte Benton, Tim Benton：《Art Deco 1910–1939》","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-006-CH05-COMMERCIAL\packets\B0073_Charlotte Benton, Tim Benton：《Art Deco 1910–1939》.md",228361,complete,complete,partial_clean_text_spot_check
BATCH-006-CH05-COMMERCIAL,B0436,book,Victoria Charles：《Art Deco》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-006-CH05-COMMERCIAL\packets\B0436_Victoria Charles：《Art Deco》.md,118317,complete,complete,partial_clean_text_spot_check
BATCH-006-CH05-COMMERCIAL,B0206,book,"Jeffrey L. Meikle：《Twentieth Century Limited Industrial Design in America, 1925-1939》，2001","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-006-CH05-COMMERCIAL\packets\B0206_Jeffrey L. Meikle：《Twentieth Century Limited Industrial Design in America, 1925-1939》，2001.md",803011,complete,complete,partial_clean_text_spot_check
BATCH-006-CH05-COMMERCIAL,B0205,book,Jeffrey L. Meikle：《Design in the USA》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-006-CH05-COMMERCIAL\packets\B0205_Jeffrey L. Meikle：《Design in the USA》.md,163208,complete,complete,partial_clean_text_spot_check
BATCH-006-CH05-COMMERCIAL,B0066,book,Carroll Gantz：《Founders of American Industrial Design》，2014,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-006-CH05-COMMERCIAL\packets\B0066_Carroll Gantz：《Founders of American Industrial Design》，2014.md,908448,complete,complete,partial_clean_text_spot_check
BATCH-006-CH05-COMMERCIAL,B0409,book,Strasser：《Getting and Spending (European and American Consumer Societies in the,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-006-CH05-COMMERCIAL\packets\B0409_Strasser：《Getting and Spending (European and American Consumer Societies in the.md,63701,complete,complete,partial_clean_text_spot_check
BATCH-006-CH05-COMMERCIAL,B0410,book,Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-006-CH05-COMMERCIAL\packets\B0410_Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C.md,112896,complete,complete,partial_clean_text_spot_check
BATCH-006-CH05-COMMERCIAL,B0145,book,Ellen Lupton：《Mechanical Brides Women and Machines from Home to Office》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-006-CH05-COMMERCIAL\packets\B0145_Ellen Lupton：《Mechanical Brides Women and Machines from Home to Office》.md,205775,complete,complete,partial_clean_text_spot_check
BATCH-006-CH05-COMMERCIAL,B0186,book,Henry Dreyfuss：《Designing for People》，1967,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-006-CH05-COMMERCIAL\packets\B0186_Henry Dreyfuss：《Designing for People》，1967.md,470696,complete,complete,partial_clean_text_spot_check
BATCH-006-CH05-COMMERCIAL,B0022,book,Anne Massey：《Interior Design of the 20th Century》，1990,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-006-CH05-COMMERCIAL\packets\B0022_Anne Massey：《Interior Design of the 20th Century》，1990.md,203067,complete,complete,partial_clean_text_spot_check
BATCH-006-CH05-COMMERCIAL,B0345,book,Penny Sparke：《An Introduction to Design and Culture 1900 to the Present》,D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-006-CH05-COMMERCIAL\packets\B0345_Penny Sparke：《An Introduction to Design and Culture 1900 to the Present》.md,122121,complete,complete,partial_clean_text_spot_check
BATCH-006-CH05-COMMERCIAL,B0162,book,"Gallo, Max：The Poster in History, 1974","D:\Design-history-知识库\教材章节知识模型转换\11_语义复核批次\BATCH-006-CH05-COMMERCIAL\packets\B0162_Gallo, Max：The Poster in History, 1974.md",130585,complete,complete,partial_clean_text_spot_check
