source_id,section_id,grade,verification,role,accepted_claim,evidence_boundary,original_followup,status
B0005,0.3,A,V2,relational_global_design_history,全球设计史应从英雄与名物清单转向对象、连接、比较和多地点关系,这是编者的方法论主张，不代表论文集各章已消除欧美中心偏差,回各章原文与所引区域研究，核定具体作者和页码,ACCEPTED_WITH_LIMITS
B0005,0.4,B,V2,object_as_local_methodological_tool,地方对象可作为追踪跨地域材料、技术和意义过程的方法工具,物不是自足文本；制造地、流通地、使用地和收藏地须分开,补对象检验、博物馆记录、贸易与使用材料,ACCEPTED_AS_METHOD
B0005,0.6,B,V2,source_asymmetry_and_canonical_bias,全球设计史须公开区域材料保存与可见性的不对称,报告网络发现只构成审计线索，不能当成原书统计事实,补各区域档案史与缺席主体材料,ACCEPTED_WITH_COUNTERSOURCE_REQUIRED
B0005,0.7,A,V2,connections_comparisons_objects,连接、比较和对象可构成全球设计史的互补路径，地方不是被动终点,不能把跨境接触自动写成对等交流或直接影响,逐案例补接触、委托、制作、流通与使用链,ACCEPTED_WITH_LIMITS
B0005,1.4,B,V2,materials_and_distributed_production,瓷器、棉布等商品的形式变化嵌入材料、工序、订货与长距离贸易系统,各产业技术条件不同，不能用一个案例概括所有材料系统,补配方、窑业／染织工艺、订单和实物分析,ACCEPTED_AS_SUPPORT
B0005,1.6,C,V2,design_term_and_professional_identity_context,design的地域命名与专业身份应被历史化而非预设为普遍类别,本书不是完整的design词源史或职业制度史,补词典、期刊、职位、学校和行业组织P0材料,CONTEXT_ONLY
B0005,1.7,A,V2,local_production_global_connections,地方生产可通过工艺适配、订货翻译和市场选择生成混合而非复制的结果,景德镇与印度棉布案例不能证明所有地区采取同一路径,补亚洲、非洲、美洲的生产者档案与对象序列,ACCEPTED_WITH_COUNTERSOURCE_REQUIRED
B0005,2.4,B,V2,trade_fashion_and_consumption,贸易订货、时尚和消费验证会反向塑造商品图样与品类,目录、订单和评论不能独立证明普通消费者的实际理解,补账本、诉讼、穿用痕迹、消费者书信与零售档案,ACCEPTED_AS_SUPPORT
B0005,2.6,B,V2,exhibition_identity_and_classification,国际和帝国展览可通过选择、排除与陈列生产身份类别,Dipti Bhagat个案限于南非1851—1936语境；Lockyer已质疑仅用表演性解释,补官方目录、组织档案、地方媒体和观众材料,ACCEPTED_WITH_COUNTERARGUMENT
B0005,2.7,A,V2,translation_and_local_modernities,棉布、瓷器与茶器的跨境迁移包含选择、误读、替代和再生产,不得把物的相似性升级为单向影响或和谐交流,逐对象建立订单—制作—运输—销售—使用链,ACCEPTED_WITH_LIMITS
